gaze_normal0_x;gaze_normal0_y;gaze_normal0_z;gaze_normal1_x;gaze_normal1_y;gaze_normal1_z;norm_pos_x;norm_pos_y
-0,267859803;-0,484690932;0,832661892;-0,0478084;-0,502616664;0,863186449;0,355056976;0,987591106
-0,268189336;-0,482575809;0,833783586;-0,0478084;-0,502616664;0,863186449;0,354853558;0,986242725
-0,268189336;-0,482575809;0,833783586;-0,050015135;-0,501987737;0,863427356;0,354552751;0,985893615
-0,268189336;-0,482575809;0,833783586;-0,051757034;-0,501173372;0,863797696;0,354319259;0,985422188
-0,271101802;-0,483910592;0,832066314;-0,051757034;-0,501173372;0,863797696;0,35267014;0,98608852
-0,271101802;-0,483910592;0,832066314;-0,05381426;-0,501138738;0,863692069;0,35238637;0,986108015
-0,268267482;-0,48321017;0,833390958;-0,05381426;-0,501138738;0,863692069;0,353993976;0,985835932
-0,268267482;-0,48321017;0,833390958;-0,052940446;-0,500291012;0,864237359;0,35412471;0,985291962
-0,266976355;-0,481525948;0,834779245;-0,052940446;-0,500291012;0,864237359;0,354845264;0,984312576
-0,266976355;-0,481525948;0,834779245;-0,05435388;-0,498969972;0,864913073;0,354663013;0,98352417
-0,266325813;-0,478915857;0,836486798;-0,05435388;-0,498969972;0,864913073;0,355012414;0,981929722
-0,262698898;-0,478966217;0,837604114;-0,05435388;-0,498969972;0,864913073;0,35706126;0,982178743
-0,262698898;-0,478966217;0,837604114;-0,056236455;-0,498351627;0,865149188;0,356803911;0,981840622
-0,262316379;-0,480738787;0,836708035;-0,056236455;-0,498351627;0,865149188;0,357032006;0,982969123
-0,262316379;-0,480738787;0,836708035;-0,057125865;-0,498817281;0,864822499;0,356902161;0,983277588
-0,262819096;-0,479687496;0,837153528;-0,057125865;-0,498817281;0,864822499;0,35661176;0,982592293
-0,262819096;-0,479687496;0,837153528;-0,058092804;-0,499006606;0,86464885;0,356474298;0,982732335
-0,262819096;-0,479687496;0,837153528;-0,057122952;-0,497883401;0,865360669;0,356622426;0,982015201
-0,263548824;-0,483514211;0,834719129;-0,057122952;-0,497883401;0,865360669;0,35623912;0,984360543
-0,263548824;-0,483514211;0,834719129;-0,0589566;-0,499001825;0,86459314;0,355970829;0,985092471
-0,261315653;-0,483394077;0,835490452;-0,0589566;-0,499001825;0,86459314;0,357224536;0,98514749
-0,260884266;-0,484564744;0,83494695;-0,0589566;-0,499001825;0,86459314;0,357474802;0,985901779
-0,260884266;-0,484564744;0,83494695;-0,059308185;-0,499574525;0,864238297;0,357419302;0,986262493
-0,260884266;-0,484564744;0,83494695;-0,058817446;-0,499630872;0,864239261;0,357487596;0,986286167
-0,260698065;-0,484490633;0,83504811;-0,058817446;-0,499630872;0,864239261;0,357591445;0,986250655
-0,259583287;-0,482390793;0,83660961;-0,058817446;-0,499630872;0,864239261;0,358200721;0,985007438
-0,259583287;-0,482390793;0,83660961;-0,060118807;-0,499939597;0,863971139;0,35801423;0,985228004
-0,259583287;-0,482390793;0,83660961;-0,06074593;-0,499754007;0,864034643;0,357928064;0,985128513
-0,258331163;-0,482583986;0,836885719;-0,06074593;-0,499754007;0,864034643;0,358628932;0,985320669
-0,258331163;-0,482583986;0,836885719;-0,060886569;-0,500458641;0,863616798;0,358601476;0,985757552
-0,261226097;-0,485208646;0,834465995;-0,060886569;-0,500458641;0,863616798;0,357001519;0,98722385
-0,261226097;-0,485208646;0,834465995;-0,060153657;-0,500348708;0,86373185;0,3571054;0,987139759
-0,26234631;-0,486398923;0,833420963;-0,060153657;-0,500348708;0,86373185;0,356485546;0,987817532
-0,26234631;-0,486398923;0,833420963;-0,061163204;-0,500485039;0,863581952;0,356342973;0,987923634
-0,263142478;-0,484004194;0,834563345;-0,061163204;-0,500485039;0,863581952;0,355878775;0,9863864
-0,263142478;-0,484004194;0,834563345;-0,061156084;-0,501657016;0,86290218;0,35586698;0,987108656
-0,263789787;-0,48592435;0,833242146;-0,061156084;-0,501657016;0,86290218;0,355517189;0,988267475
-0,262694483;-0,484107563;0,834644521;-0,061156084;-0,501657016;0,86290218;0,356119311;0,987198761
-0,262694483;-0,484107563;0,834644521;-0,062095764;-0,501162108;0,86312262;0,355993577;0,986915061
-0,262694483;-0,484107563;0,834644521;-0,063089705;-0,501359684;0,862935778;0,355852829;0,987059522
-0,263856057;-0,484462484;0,834071989;-0,063089705;-0,501359684;0,862935778;0,355203476;0,98721327
-0,262473404;-0,484101983;0,834717307;-0,063089705;-0,501359684;0,862935778;0,355976753;0,987068787
-0,262473404;-0,484101983;0,834717307;-0,063188066;-0,500161902;0,863623379;0,355976064;0,986333826
-0,262473404;-0,484101983;0,834717307;-0,063588931;-0,498127267;0,864769145;0,355942103;0,985091907
-0,263332454;-0,484072851;0,834463596;-0,063588931;-0,498127267;0,864769145;0,355460176;0,98502346
-0,264221517;-0,484910214;0,833696033;-0,063588931;-0,498127267;0,864769145;0,35496697;0,985492765
-0,264221517;-0,484910214;0,833696033;-0,067475408;-0,492099387;0,867920079;0,355250662;0,985621628
-0,264221517;-0,484910214;0,833696033;-0,067507604;-0,491108069;0,868478893;0,355248685;0,985008112
-0,264812943;-0,483166566;0,834520326;-0,067507604;-0,491108069;0,868478893;0,354920067;0,983897802
-0,264812943;-0,483166566;0,834520326;-0,069184518;-0,487570938;0,870337913;0,35468803;0,981722325
-0,265871466;-0,478623033;0,836798874;-0,069184518;-0,487570938;0,870337913;0,354101921;0,978846345
-0,265871466;-0,478623033;0,836798874;-0,070090596;-0,480951416;0,873941099;0,353989905;0,974761402
-0,266493497;-0,468118402;0,842523814;-0,070090596;-0,480951416;0,873941099;0,35365636;0,96818725
-0,266493497;-0,468118402;0,842523814;-0,065070965;-0,472765905;0,878782207;0,354402158;0,963022524
-0,264334967;-0,454551578;0,850593845;-0,065070965;-0,472765905;0,878782207;0,35562949;0,954673113
-0,264334967;-0,454551578;0,850593845;-0,065100898;-0,465286967;0,882762658;0,355650582;0,950026107
-0,267504997;-0,448784935;0,852662394;-0,065100898;-0,465286967;0,882762658;0,353879935;0,946246453
-0,267504997;-0,448784935;0,852662394;-0,065440423;-0,460771135;0,885103108;0,353846817;0,943446078
-0,26698592;-0,448433231;0,853010056;-0,065440423;-0,460771135;0,885103108;0,354138843;0,943258334
-0,26698592;-0,448433231;0,853010056;-0,065198527;-0,460296556;0,885367851;0,354175266;0,942956097
-0,267144499;-0,447973786;0,853201795;-0,065198527;-0,460296556;0,885367851;0,354086832;0,942659685
-0,267144499;-0,447973786;0,853201795;-0,065013714;-0,460166696;0,885448942;0,354113872;0,942573401
-0,266499536;-0,444920401;0,854999318;-0,065013714;-0,460166696;0,885448942;0,354479856;0,940709058
-0,266499536;-0,444920401;0,854999318;-0,065383743;-0,45908353;0,885983791;0,354430355;0,940046862
-0,266293534;-0,44259368;0,856270161;-0,065383743;-0,45908353;0,885983791;0,354548685;0,938610174
-0,266293534;-0,44259368;0,856270161;-0,065154571;-0,455738934;0,887725693;0,354593638;0,936522466
-0,266722842;-0,438568841;0,858205277;-0,065154571;-0,455738934;0,887725693;0,354357755;0,933986258
-0,266722842;-0,438568841;0,858205277;-0,064239182;-0,454438771;0,888458626;0,354494502;0,933144774
-0,266162385;-0,440508232;0,857385609;-0,064239182;-0,454438771;0,888458626;0,354806586;0,934391023
-0,266162385;-0,440508232;0,857385609;-0,062324425;-0,45383768;0,888902146;0,355085436;0,933951059
-0,264410547;-0,439774561;0,858303791;-0,062324425;-0,45383768;0,888902146;0,35606887;0,933608371
-0,264410547;-0,439774561;0,858303791;-0,062874555;-0,452857291;0,889363291;0,355992472;0,933017707
-0,265081932;-0,43804739;0,858979658;-0,062874555;-0,452857291;0,889363291;0,355618589;0,931896213
-0,264574395;-0,437648748;0,859339259;-0,062874555;-0,452857291;0,889363291;0,355903428;0,931681599
-0,264574395;-0,437648748;0,859339259;-0,063096156;-0,451856391;0,889856549;0,355874884;0,931066896
-0,264574395;-0,437648748;0,859339259;-0,064858563;-0,451449789;0,889936208;0,355620944;0,930878509
-0,266969269;-0,438484793;0,8581716;-0,064858563;-0,451449789;0,889936208;0,354277734;0,931238091
-0,268430855;-0,439366693;0,857264128;-0,064858563;-0,451449789;0,889936208;0,353455119;0,931689739
-0,268430855;-0,439366693;0,857264128;-0,065937431;-0,452656834;0,889243525;0,353296013;0,932479462
-0,267457147;-0,439425868;0,857538093;-0,065937431;-0,452656834;0,889243525;0,353843023;0,932581723
-0,267457147;-0,439425868;0,857538093;-0,06481668;-0,452785039;0,889260651;0,35400377;0,932621462
-0,269350424;-0,437953262;0,857698834;-0,06481668;-0,452785039;0,889260651;0,352940652;0,931574797
-0,269350424;-0,437953262;0,857698834;-0,065299945;-0,453024329;0,88910341;0,352870521;0,931741264
-0,270482043;-0,438632652;0,856995251;-0,065299945;-0,453024329;0,88910341;0,352231793;0,932088697
-0,270482043;-0,438632652;0,856995251;-0,067193821;-0,450691549;0,890147245;0,351969678;0,93070515
-0,270482043;-0,438632652;0,856995251;-0,066715552;-0,453319492;0,888847835;0,352028532;0,932323274
-0,270858058;-0,436432615;0,857999117;-0,066715552;-0,453319492;0,888847835;0,351819349;0,930924901
-0,270985735;-0,437792815;0,857265526;-0,066715552;-0,453319492;0,888847835;0,351745617;0,931764874
-0,270985735;-0,437792815;0,857265526;-0,070767428;-0,45152722;0,889446536;0,351175619;0,930799703
-0,270985735;-0,437792815;0,857265526;-0,074450286;-0,452804894;0,888495854;0,350648998;0,931732396
-0,27245115;-0,438072099;0,856658162;-0,074450286;-0,452804894;0,888495854;0,3498246;0,931805148
-0,272964716;-0,438563535;0,856243125;-0,074450286;-0,452804894;0,888495854;0,349534733;0,932075474
-0,272964716;-0,438563535;0,856243125;-0,07405755;-0,453577208;0,888134672;0,349587256;0,932540183
-0,272964716;-0,438563535;0,856243125;-0,07621804;-0,452969961;0,8882618;0,349285328;0,932244878
-0,27502322;-0,437552149;0,856101831;-0,07621804;-0,452969961;0,8882618;0,348126457;0,931473167
